menu_item_id,item_name,category,selling_price,estimated_prep_minutes,vegetarian,vegan,gluten_free,available_for_delivery,base_popularity_weight,cold_weather_affinity,hot_weather_affinity,lunch_affinity,dinner_affinity,delivery_affinity,source_type,source_url
MI001,Fried Spring Rolls,Starters,12.50,12,false,false,false,true,1.2,1.0,1.0,1.0,1.1,1.1,synthetic,
MI002,Vegetarian Spring Rolls,Starters,11.50,12,true,true,false,true,0.9,1.0,1.0,1.0,1.0,1.1,synthetic,
MI003,Chicken Satay Skewers,Starters,13.90,15,false,false,true,true,1.0,1.0,1.0,0.9,1.2,0.9,synthetic,
MI004,Salt and Pepper Squid,Starters,15.90,14,false,false,false,true,1.1,1.0,1.0,0.9,1.2,0.9,synthetic,
MI005,Rice Paper Crackers with Peanut Sauce,Starters,9.50,8,true,true,true,true,0.7,1.0,1.1,1.0,1.0,1.0,synthetic,
MI006,Pork and Prawn Dumplings,Dumplings,13.50,15,false,false,false,true,1.3,1.0,1.0,1.0,1.2,1.0,synthetic,
MI007,Chicken Dumplings,Dumplings,12.50,15,false,false,false,true,1.0,1.0,1.0,1.0,1.1,1.0,synthetic,
MI008,Vegetable Dumplings,Dumplings,12.00,14,true,true,false,true,0.8,1.0,1.0,1.0,1.0,1.0,synthetic,
MI009,Wonton Soup Dumplings,Dumplings,13.90,16,false,false,false,true,0.9,1.3,0.7,1.0,1.0,0.9,synthetic,
MI010,Prawn Rice Paper Rolls,Rice Paper Rolls,11.90,10,false,false,true,true,1.2,1.0,1.2,1.0,1.0,1.0,synthetic,
MI011,Chicken Rice Paper Rolls,Rice Paper Rolls,11.50,10,false,false,true,true,1.0,1.0,1.1,1.0,1.0,1.0,synthetic,
MI012,Tofu Rice Paper Rolls,Rice Paper Rolls,10.90,10,true,true,true,true,0.8,1.0,1.2,1.0,1.0,1.0,synthetic,
MI013,Beef Rice Paper Rolls,Rice Paper Rolls,12.90,11,false,false,true,true,0.9,1.0,1.1,1.0,1.0,1.0,synthetic,
MI014,Grilled Pork Banh Mi,Banh Mi,13.50,9,false,false,false,true,1.4,1.0,1.0,1.4,1.0,1.2,synthetic,
MI015,Lemongrass Chicken Banh Mi,Banh Mi,13.50,9,false,false,false,true,1.3,1.0,1.0,1.4,1.0,1.2,synthetic,
MI016,Vietnamese Pate Banh Mi,Banh Mi,13.90,9,false,false,false,true,1.0,1.0,1.0,1.3,1.0,1.1,synthetic,
MI017,Tofu Banh Mi,Banh Mi,12.90,9,true,true,false,true,0.8,1.0,1.0,1.2,1.0,1.1,synthetic,
MI018,Beef Brisket Banh Mi,Banh Mi,14.50,10,false,false,false,true,1.1,1.0,1.0,1.3,1.0,1.1,synthetic,
MI019,Beef Pho,Pho Noodles,16.90,14,false,false,true,true,1.5,1.4,0.7,1.0,1.1,1.0,synthetic,
MI020,Chicken Pho,Pho Noodles,15.90,13,false,false,true,true,1.3,1.3,0.7,1.0,1.0,1.0,synthetic,
MI021,Vegetable Pho,Pho Noodles,14.90,12,true,true,true,true,0.8,1.2,0.8,1.0,1.0,1.0,synthetic,
MI022,Combination Pho,Pho Noodles,17.90,15,false,false,true,true,1.0,1.3,0.7,1.0,1.1,1.0,synthetic,
MI023,Beef Pho Xao,Pho Xao,16.50,13,false,false,false,true,1.0,1.0,1.0,1.0,1.0,1.0,synthetic,
MI024,Chicken Pho Xao,Pho Xao,15.90,13,false,false,false,true,0.9,1.0,1.0,1.0,1.0,1.0,synthetic,
MI025,Vegetable Pho Xao,Pho Xao,14.50,12,true,true,false,true,0.7,1.0,1.0,1.0,1.0,1.0,synthetic,
MI026,Seafood Pho Xao,Pho Xao,18.50,14,false,false,false,true,0.9,1.0,1.0,1.0,1.0,1.0,synthetic,
MI027,Grilled Lemongrass Chicken Rice Bowl,Rice Bowls,16.50,12,false,false,true,true,1.2,1.0,1.0,1.0,1.1,1.0,synthetic,
