ingredient_id,ingredient_name,ingredient_category,unit,estimated_unit_cost,shelf_life_days,reorder_level,safety_stock,supplier_id,synthetic_estimate
ING001,chicken_breast,Protein,kilograms,11.50,4,8,4,S02,true
ING002,chicken_thigh,Protein,kilograms,9.80,4,8,4,S02,true
ING003,beef_brisket,Protein,kilograms,18.90,5,6,3,S02,true
ING004,beef_sirloin,Protein,kilograms,24.50,5,5,2,S02,true
ING005,beef_mince,Protein,kilograms,14.20,3,6,3,S02,true
ING006,pork_belly,Protein,kilograms,13.60,5,6,3,S02,true
ING007,pork_shoulder,Protein,kilograms,10.90,5,6,3,S02,true
ING008,pork_mince,Protein,kilograms,11.80,3,6,3,S02,true
ING009,prawns,Seafood,kilograms,26.00,2,5,2,S03,true
ING010,tofu,Protein,kilograms,5.20,6,6,3,S04,true
ING011,rice_vermicelli,Noodles,kilograms,3.80,180,10,5,S04,true
ING012,flat_rice_noodle,Noodles,kilograms,3.50,180,10,5,S04,true
ING013,egg_noodle,Noodles,kilograms,4.10,120,6,3,S04,true
ING014,jasmine_rice,Grain,kilograms,2.40,365,15,8,S04,true
ING015,rice_paper,Wrapper,each,0.08,240,300,100,S04,true
ING016,wonton_wrapper,Wrapper,each,0.06,30,200,80,S04,true
ING017,dumpling_wrapper,Wrapper,each,0.05,30,200,80,S04,true
ING018,bean_sprouts,Produce,kilograms,3.20,5,6,3,S01,true
ING019,cucumber,Produce,kilograms,3.60,7,5,2,S01,true
ING020,carrot,Produce,kilograms,2.10,21,6,3,S01,true
ING021,daikon,Produce,kilograms,2.60,14,5,2,S01,true
ING022,lettuce,Produce,kilograms,4.50,6,5,2,S01,true
ING023,cabbage,Produce,kilograms,2.00,14,5,2,S01,true
ING024,spring_onion,Produce,kilograms,6.80,6,3,1,S01,true
ING025,red_chilli,Produce,kilograms,9.50,10,2,1,S01,true
ING026,garlic,Produce,kilograms,8.20,60,3,1,S01,true
ING027,ginger,Produce,kilograms,7.40,30,3,1,S01,true
ING028,lime,Produce,each,0.45,14,60,20,S01,true
ING029,onion,Produce,kilograms,2.30,30,6,3,S01,true
ING030,coriander,Herb,kilograms,14.00,5,2,1,S01,true
ING031,mint,Herb,kilograms,15.50,5,2,1,S01,true
ING032,thai_basil,Herb,kilograms,16.00,5,2,1,S01,true
ING033,perilla_leaf,Herb,kilograms,18.00,5,1,1,S01,true
ING034,fish_sauce,Condiment,litres,6.50,365,6,3,S04,true
ING035,hoisin_sauce,Condiment,litres,7.20,365,4,2,S04,true
ING036,soy_sauce,Condiment,litres,4.80,365,6,3,S04,true
ING037,sriracha,Condiment,litres,8.90,365,3,1,S04,true
ING038,peanut_sauce,Condiment,litres,9.40,30,3,1,S04,true
ING039,chicken_stock,Stock,litres,3.10,5,10,5,S04,true
ING040,beef_stock,Stock,litres,3.60,5,10,5,S04,true
ING041,rice_vinegar,Condiment,litres,5.20,365,3,1,S04,true
ING042,sugar,Pantry,kilograms,1.80,730,5,2,S04,true
ING043,cooking_oil,Pantry,litres,4.20,365,8,4,S04,true
ING044,peanuts_crushed,Pantry,kilograms,12.00,90,3,1,S04,true
ING045,fried_shallots,Pantry,kilograms,16.50,60,2,1,S04,true
ING046,baguette,Bakery,each,1.10,1,40,15,S05,true
ING047,pate,Dairy,kilograms,15.00,10,3,1,S04,true
ING048,butter,Dairy,kilograms,9.00,60,3,1,S04,true
ING049,condensed_milk,Dairy,litres,6.20,365,4,2,S06,true
ING050,vietnamese_coffee,Beverage,kilograms,22.00,365,3,1,S06,true
ING051,soda_water,Beverage,litres,1.60,180,10,4,S06,true
ING052,ice,Beverage,kilograms,0.80,3,20,10,S06,true
ING053,squid,Seafood,kilograms,19.50,2,4,2,S03,true
ING054,vegetable_stock,Stock,litres,2.60,5,8,4,S04,true
ING055,prawn_cracker_raw,Pantry,kilograms,6.50,180,3,1,S04,true
ING056,coconut_cream,Dairy,litres,4.80,10,4,2,S04,true
ING057,sugar_cane_juice_base,Beverage,litres,5.50,7,4,2,S06,true
ING058,black_tea,Beverage,kilograms,18.00,365,2,1,S06,true
